id|title|description|image|location|eventType|startDate|endDate|registrationDeadline|duration|activityDetails|cost|website|travelTime|googleMapLink|lgbtqFriendly|tags|lastUpdated|subcategory|socialMedia|recurring|venueAccessibility|pronouns|ageRestriction
1|Pride Toronto 2024|Annual celebration of Toronto's LGBTQ+ community with parades, performances, and community events|https://source.unsplash.com/random/?pride,toronto|Church-Wellesley Village|community|2024-06-21|2024-06-23||3 days|Parades, street fairs, performances|Free|https://www.pridetoronto.com|varies|https://goo.gl/maps/church-wellesley|true|pride,festival,community,celebration|2024-05-31|festival|{"instagram":"pridetoronto","facebook":"PrideToronto","twitter":"PrideToronto"}|false|wheelchair accessible,ASL interpretation|they/them|all-ages
2|Drag Brunch at Glad Day|Weekly drag performances with brunch at Toronto's iconic LGBTQ+ bookstore|https://source.unsplash.com/random/?drag,performance|499 Church St, Toronto|performance|2024-06-01|2024-12-31|2024-05-31|2 hours|Drag performances, brunch menu|$25|https://gladdaybookshop.com|15 mins|https://goo.gl/maps/gladday|true|drag,brunch,performance,bookstore|2024-05-31|drag|{"instagram":"gladdaybookshop"}|true|wheelchair accessible,gender-neutral facilities|all|19+
3|Queer Dance Party|Monthly dance party celebrating LGBTQ+ music and culture|https://source.unsplash.com/random/?dance,party|120 Church St, Toronto|nightlife|2024-06-15|2024-06-16||4 hours|DJ sets, dance floor, themed nights|$15|https://queerdanceparty.to|20 mins|https://goo.gl/maps/queerdance|true|dance,music,nightlife,party|2024-05-31|party|{"instagram":"queerdanceTO"}|true|gender-neutral facilities|all|19+
4|LGBTQ+ Film Festival|Annual showcase of queer cinema from around the world|https://source.unsplash.com/random/?film,festival|TIFF Bell Lightbox, Toronto|community|2024-07-01|2024-07-10||10 days|Film screenings, Q&As, workshops|$12-25|https://insideout.ca|30 mins|https://goo.gl/maps/tiff|true|film,arts,culture,cinema|2024-05-31|arts|{"instagram":"insideoutfestival"}|false|wheelchair accessible,ASL interpretation,quiet space|all|varies
5|Rainbow Sports League|Weekly LGBTQ+ inclusive sports meetups|https://source.unsplash.com/random/?sports,team|West End YMCA, Toronto|social|2024-06-01|2024-08-31||2 hours|Various sports activities|$10|https://rainbowsports.to|25 mins|https://goo.gl/maps/ymca|true|sports,social,fitness,community|2024-05-31|sports|{"instagram":"rainbowsportsTO"}|true|wheelchair accessible|all|18+
6|STRAPS ARM WRESTLING|A trans-focused arm wrestling group that welcomes everyone, including allies, provided they behave respectfully|https://source.unsplash.com/random/?armwrestling,queer|Houndstooth, 818 College St, Toronto, ON M6G 1C8|social|2025-05-15|2025-05-15|2025-05-14|3.5 hours|Mini-tournaments with instructors teaching fundamentals|$15.69-19.08|N/A|15 mins|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|true|arm wrestling,trans,queer,drop-in,social,competition,inclusive|2025-05-31|sports|{}|true|not specified|all|18+
7|FIELD OF DREAMERS COOPERATIVE SOFTBALL|An inclusive, volunteer-run, not-for-profit recreational softball league for queer, trans, and non-binary people|https://source.unsplash.com/random/?softball,queer|Various Toronto Locations|social|2025-05-01|2025-10-31|2025-02-28|Season-long|Non-competitive play until playoffs, social events included|Sliding scale|https://fieldofdreamers.org/|varies|N/A|true|softball,league,queer,trans,non-binary,bipoc,recreational,community,inclusive|2025-05-31|sports|{}|true|not specified|all|18+
8|LEARNSOFTBALLTO|A queer-inclusive and queer-friendly league that welcomes adult women, trans, and non-binary players|https://source.unsplash.com/random/?softball,inclusive|Various Toronto Locations|social|2025-05-01|2025-09-30|2025-02-28|Season-long|Players rotate teams each season for social connections|Not specified|N/A|varies|N/A|true|softball,women,trans,non-binary,league,social,inclusive|2025-05-31|sports|{}|true|not specified|all|18+
9|NOTSOAMAZON SOFTBALL LEAGUE|A league for queer-positive women, trans*, and gender-neutral individuals|https://source.unsplash.com/random/?softball,women|Coronation Park & Riverdale Park West|social|2025-04-01|2025-09-30|2025-02-28|Season-long|Non-competitive play until playoff tournament|$99.00|http://www.notsoamazon.com/|10-15 mins|https://maps.app.goo.gl/r69421xV1z7n5Y3J7|true|softball,women,trans,gender-neutral,league,recreational,inclusive|2025-05-31|sports|{}|true|not specified|all|18+
10|QUEER SOFTBALL BABIES|A drop-in group that welcomes queer people, with trans and non-binary people and women prioritized|https://source.unsplash.com/random/?softball,queer|Various Toronto Locations|social|2025-05-17|2025-09-30||1.5 hours|Drop-in casual play and practices|Free-$100|N/A|varies|N/A|true|softball,queer,trans,non-binary,women,drop-in,recreational,inclusive|2025-05-31|sports|{}|true|not specified|all|18+
11|RAINBOW HOOPS TO|A basketball league exclusively for queer women, trans, and non-binary individuals|https://source.unsplash.com/random/?basketball,queer|Various Toronto Locations|social|2025-10-01|2025-05-31|2025-09-30|Season-long|Draft/skills clinic and balanced team placement|Not specified|https://www.rainbowhoops.ca/|varies|N/A|true|basketball,queer,women,trans,non-binary,league,inclusive|2025-05-31|sports|{}|true|not specified|all|18+
12|SQWISH|A drop-in group focused on trans and queer people|https://source.unsplash.com/random/?sports,trans|Central Technical School, Toronto|social|2025-09-01|2025-06-30||Weekly sessions|Drop-in sports sessions|Not specified|N/A|15-20 mins|https://maps.app.goo.gl/Y1z7n5Y3J7r69421xV|true|sports,trans,queer,drop-in,inclusive|2025-05-31|sports|{}|true|not specified|all|18+
13|TORONTO GAY BASKETBALL ASSOCIATION|A basketball league welcoming queers of all kinds and allies|https://source.unsplash.com/random/?basketball,gay|Various Toronto Locations|social|2025-09-01|2025-11-30||Season-long|Players drafted onto teams by volunteer captains|Not specified|https://ngba.org/locations/|varies|N/A|true|basketball,gay,queer,allies,league,inclusive|2025-05-31|sports|{}|true|not specified|all|18+
14|QUEER BOXING CLUB|A boxing club welcoming queer people and allies|https://source.unsplash.com/random/?boxing,queer|Rumble Boxing Yorkville, 1235 Bay Street|social|2025-05-31|2025-05-31||50 minutes|Learn boxing fundamentals from instructors|$0-37|https://www.mindbodyonline.com/explore/locations/rumble-boxing-yorkville|10-15 mins|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|true|boxing,queer,allies,fitness,class,drop-in,inclusive|2025-05-31|sports|{}|true|not specified|all|18+
15|BULGES AND BOULDERS|An indoor climbing group open to all genders, orientations, and skill levels|https://source.unsplash.com/random/?climbing,queer|Rock Oasis & Boulderz Climbing|social|2025-05-31|2025-12-31||Weekly sessions|Indoor climbing sessions|Gym fees apply|https://boulderzclimbing.com/|15-20 mins|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|true|climbing,queer,allies,drop-in,indoor,fitness,inclusive|2025-05-31|sports|{"instagram":"bulgesandboulders"}|true|not specified|all|18+
16|QUEER CLIMBERS OF TORONTO|A climbing group for all queer and trans people|https://source.unsplash.com/random/?climbing,trans|Basecamp, 677 Bloor St. W|social|2025-05-31|2025-12-31||Monthly sessions|Indoor climbing in a safe, inclusive space|Membership/day pass|https://www.queerclimbersnetwork.com/|10-15 mins|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|true|climbing,queer,trans,drop-in,inclusive,fitness|2025-05-31|sports|{"instagram":"queerclimbto"}|true|not specified|all|18+
17|RIVERDALE CURLING LEAGUE|A curling league open to 2SLGBTQIA+ individuals and allies|https://source.unsplash.com/random/?curling,queer|Royal Canadian Curling Club, Toronto|social|2025-10-01|2025-04-30||Season-long|Weekly curling sessions|Not specified|N/A|10-15 mins|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|true|curling,queer,allies,league,inclusive|2025-05-31|sports|{}|true|not specified|all|18+
18|CHAOTIC QUEER DODGEBALL|A dodgeball group prioritizing trans, non-binary, and queer women players|https://source.unsplash.com/random/?dodgeball,queer|Various Toronto Locations|social|2025-09-01|2025-06-30||Weekly sessions|Fun-focused play without score tracking|Not specified|N/A|varies|N/A|true|dodgeball,queer,trans,non-binary,women,drop-in,recreational,inclusive|2025-05-31|sports|{}|true|not specified|all|18+
19|PINK TURF SOCCER LEAGUE|The longest-running Canadian soccer league for the 2SLGBTQ+ community|https://source.unsplash.com/random/?soccer,queer|Withrow Park, Toronto|social|2025-05-01|2025-09-30|2025-04-30|90 minutes|11v11 games, weekly practices, social events|Sliding scale|https://www.pinkturfsoccer.com/|15-20 mins|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|true|soccer,2slgbtq+,bipoc,trans,non-binary,recreational,league,community,inclusive|2025-05-31|sports|{}|true|not specified|all|18+
20|TORONTO SPARTAN VOLLEYBALL LEAGUE|The largest single-sport LGBTQQ2 league in Canada|https://source.unsplash.com/random/?volleyball,queer|Various Toronto Locations|social|2025-06-13|2025-08-31||10 weeks|Recreational volleyball division|Prorated fee|https://www.tsvl.org/|varies|N/A|true|volleyball,queer,trans,lgbtq+,league,recreational,inclusive|2025-05-31|sports|{}|true|not specified|all|18+
21|TORONTO TRIGGERFISH WATERPOLO|An active group of LGBTQ+ and allied individuals who play water polo|https://source.unsplash.com/random/?waterpolo,queer|55 Harbord Street, Toronto|social|2025-05-31|2025-12-31||Season-long|Coached water polo practices|$495 annual|https://www.triggerfishwaterpolo.ca/|10-15 mins|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|true|water polo,lgbtq+,allies,recreational,competitive,inclusive|2025-05-31|sports|{}|true|not specified|all|18+
22|Toronto Queer Sports Pride Party|A night of unforgettable fun and Pride Anthems|https://source.unsplash.com/random/?party,queer|Buddies in Bad Times Theatre|nightlife|2025-06-13|2025-06-13||Evening|Dance party and social gathering|$10-15|https://buddiesinbadtimes.com/show/toronto-queer-sports-pride/|5-10 mins|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|true|lgbtq+,party,social,dance,queer sports,entertainment,nightlife|2025-05-31|party|{}|false|not specified|all|19+
23|ROM After Dark (Pride Edition)|Museum after-hours featuring drag performances and dance parties|https://source.unsplash.com/random/?museum,pride|Royal Ontario Museum|community|2025-06-13|2025-06-13||Evening|Museum exhibits, drag shows, music, dancing|$36-40|https://www.rom.on.ca/whats-on/events/rom-after-dark-summer-solstice|10-15 mins|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|true|lgbtq+,museum,party,drag,music,dance,culture,entertainment|2025-05-31|arts|{}|false|wheelchair accessible|all|19+
24|Youth Pride Prom|Special prom event for 2SLGBTQ+ youth|https://source.unsplash.com/random/?prom,queer|Buddies in Bad Times Theatre|community|2025-06-24|2025-06-24||Evening|Safe and inclusive prom celebration|Not specified|N/A|5-10 mins|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|true|lgbtq+,youth,prom,social,inclusive|2025-05-31|social|{}|false|not specified|all|21 and under
25|Green Space Festival|Outdoor parties supporting The 519 community center|https://source.unsplash.com/random/?festival,pride|Barbara Hall Park|community|2025-06-25|2025-06-29||Daily|DJs, performers, drag shows|By donation|https://greenspaceto.org/|5-10 mins|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|true|lgbtq+,festival,party,drag,music,dance,charity,outdoor,community|2025-05-31|festival|{}|false|wheelchair accessible|all|19+
26|Toronto Zoo Drag Queen Storytime|Animal-themed stories promoting inclusion|https://source.unsplash.com/random/?storytime,drag|Toronto Zoo|performance|2025-06-14|2025-06-14||1 hour|Drag performers reading inclusive stories|Free with admission|https://www.torontozoo.com/pride|30-45 mins|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|true|drag,storytime,kids,family,lgbtq+,zoo,education,performance|2025-05-31|family|{}|false|wheelchair accessible|all|all-ages
27|Toronto Zoo Eleganza Extra-Zoo-Ganza|Evening of lip syncs and laughs|https://source.unsplash.com/random/?drag,show|Toronto Zoo|performance|2025-06-14|2025-06-14||1 hour|Drag performances and comedy|Separate ticket|https://www.torontozoo.com/pride|30-45 mins|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|true|drag,performance,show,lgbtq+,zoo,entertainment,nightlife|2025-05-31|drag|{}|false|wheelchair accessible|all|19+
28|TRANScendTO|Community event for connection and resources|https://source.unsplash.com/random/?trans,community|Toronto Metropolitan University|community|2025-06-06|2025-06-06||8.5 hours|Workshops, healthcare info, Kiki Ball|Not specified|https://www.youthline.ca/transcendto/|5-10 mins|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|true|trans,queer,2slgbtq+,community,workshop,healthcare,kiki ball,inclusive,education|2025-05-31|resources|{}|false|wheelchair accessible|all|all-ages
29|Freedom Party Toronto 2025|Rainbow Railroad's 10th celebration|https://source.unsplash.com/random/?party,pride|Royal Ontario Museum|nightlife|2025-06-06|2025-06-06||Evening|Food, drinks, drag performances|VIP & GA available|https://www.rainbowrailroad.org/the-latest/freedom-party-toronto-2025|10-15 mins|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|true|lgbtq+,party,drag,charity,social,entertainment,nightlife,inclusive|2025-05-31|party|{}|false|wheelchair accessible|all|19+ 