id,title,description,image,location,type,startDate,endDate,registrationDeadline,duration,activityDetails,cost,website,travelTime,googleMapLink,lgbtqFriendly,tags,lastUpdated,category,eventType,neighborhood,season,priceRange,source
sp733305_soulpepper,Soulpepper Theatre Company,"Multi-award-winning Toronto theatre company presenting classics, new works, and artist training."," ","Young Centre for the Performing Arts, Distillery District",Theatre,Year-round (show schedules vary)," ",Book tickets in advance,Varies per show (typically 2-3 hrs),"Plays, musicals, concerts, workshops.",Varies per show ($30-$100+),https://www.soulpepper.ca/,Approx 15-25 mins,https://goo.gl/maps/YoungCentreDistillery,true,"theatre,canadian,play,musical,distillery district,toronto",2025-05-30T21:32:13.305Z,Theatre,special_event,"Young Centre for the Performing Arts, Distillery District",year-round,varies,special_event
sp733305_canadianop,Canadian Opera Company (COC),"Largest opera company in Canada, performing at the Four Seasons Centre for the Performing Arts."," ","Four Seasons Centre for the Performing Arts, 145 Queen St W",Opera/Music,Seasonal (typically Sept-May)," ",Book tickets in advance,Varies per opera (typically 2.5-4 hrs),Grand opera productions with international and Canadian artists.,Varies per show/seat ($45-$350+),https://www.coc.ca/,Approx 5-10 mins,https://goo.gl/maps/FourSeasonsCentre,true,"opera,classical music,performing arts,toronto",2025-05-30T21:32:13.305Z,Opera/Music,special_event,"Four Seasons Centre for the Performing Arts, 145 Queen St W",year-round,varies,special_event
sp733305_nationalba,National Ballet of Canada,"Canada's premier ballet company, performing classics and contemporary works."," ","Four Seasons Centre for the Performing Arts, 145 Queen St W",Dance/Ballet,"Seasonal (typically Nov-Mar, plus June performances)"," ",Book tickets in advance,Varies per ballet (typically 2-3 hrs),Classical and contemporary ballet productions.,Varies per show/seat ($40-$250+),https://national.ballet.ca/,Approx 5-10 mins,https://goo.gl/maps/FourSeasonsCentre,true,"ballet,dance,performing arts,toronto",2025-05-30T21:32:13.305Z,Dance/Ballet,special_event,"Four Seasons Centre for the Performing Arts, 145 Queen St W",year-round,varies,special_event
sp733305_torontosym,Toronto Symphony Orchestra (TSO),"Major symphony orchestra presenting classical masterworks, contemporary pieces, and pops concerts."," ","Roy Thomson Hall, 60 Simcoe St",Music/Orchestra,Seasonal (typically Sept-June)," ",Book tickets in advance,Varies per concert (typically 2-2.5 hrs),"Symphonic concerts, guest artists, film music nights.",Varies per concert/seat ($35-$180+),https://www.tso.ca/,Approx 5-10 mins,https://goo.gl/maps/RoyThomsonHall,true,"orchestra,classical music,symphony,live music,toronto",2025-05-30T21:32:13.305Z,Music/Orchestra,special_event,"Roy Thomson Hall, 60 Simcoe St",year-round,varies,special_event
sp733305_buddiesinb,Buddies in Bad Times Theatre,"Leading presenter of queer theatre in Canada, dedicated to the development and presentation of LGBTQ2S artists and their work."," ","12 Alexander St, Toronto",Theatre/LGBTQ+,Year-round (show schedules vary)," ",Book tickets in advance,Varies per show,"Plays, performance art, festivals, youth programs, cabarets with a queer focus.","Varies ($20-$50+, some PWYC)",https://buddiesinbadtimes.com/,Approx 10-15 mins,https://goo.gl/maps/BuddiesInBadTimes,true,"lgbtq theatre,queer art,play,performance,toronto",2025-05-30T21:32:13.305Z,Theatre/LGBTQ+,special_event,"12 Alexander St, Toronto",year-round,varies,special_event
sp733305_thegarriso,"The Garrison, The Horseshoe Tavern, Lee's Palace, History, Massey Hall, Budweiser Stage (various music venues)",Various iconic and newer live music venues hosting a wide range of genres and artists.," ",Various locations across Toronto,Concert/Live Music,Year-round," ","Book tickets in advance (Ticketmaster, venue sites)",Varies per show,"Concerts (rock, indie, pop, electronic, etc.), touring and local bands.",Varies widely ($20-$200+),"(Check venue websites: historytoronto.com, masseyhall.com, livenation.com/venues/14878/budweiser-stage-toronto, horseshoetavern.com, leespalace.com, garrisontoronto.com)",Varies (many downtown or accessible by TTC)," ",true,"live music,concert,rock,indie,pop,toronto,venue",2025-05-30T21:32:13.305Z,Concert/Live Music,special_event,Various locations across Toronto,year-round,varies,special_event
sp733305_cherrybomb,Cherry Bomb,Recurring dance party for queer women and friends. Features guest DJs and a vibrant atmosphere.," ","Typically at The Garrison or other venues, check listings",Gay Party/Social,Monthly or bi-monthly (check schedule)," ",Tickets at door or advance for special events,"~4-5 hours (e.g., 10 PM - 3 AM)","DJ sets (various genres), dancing, social event for queer women and trans/non-binary folks.",~$15-25," (Search ""Cherry Bomb Toronto"" on Facebook or Instagram for current events)",Varies by venue," ",true,"lgbtq party,queer women,lesbian,dance,social,toronto",2025-05-30T21:32:13.305Z,Gay Party/Social,special_event,"Typically at The Garrison or other venues, check listings",year-round,varies,special_event
sp733305_strapped,Strapped,"Inclusive, sex-positive QTBIPOC-centered dance party. Often features themes and performances."," ","Various venues, often The Garrison or larger spaces. Check listings.",Gay Party/Social,Monthly or bi-monthly (check schedule)," ","Tickets often sell out, buy in advance","~4-6 hours (e.g., 10 PM - 4 AM)","DJ sets (hip hop, R&B, dancehall, afrobeat), performances, body-positive atmosphere.",~$20-35," (Search ""Strapped Toronto"" on Instagram or Facebook)",Varies by venue," ",true,"qtbipoc,lgbtq party,dance,sex positive,inclusive,toronto",2025-05-30T21:32:13.305Z,Gay Party/Social,special_event,"Various venues, often The Garrison or larger spaces. Check listings.",year-round,varies,special_event
sp733305_dragshowsa,"Drag Shows at The Drink, Crews & Tangos, Glad Day Bookshop, etc.",Various bars and venues in the Church-Wellesley Village and beyond host regular drag shows.," ","Church-Wellesley Village (e.g., The Drink, Crews & Tangos) and other venues",Gay Show/Performance,Weekly/multiple times a week at many venues," ",Often no cover or small cover at door; some special events ticketed,~1-3 hours per show,"Drag performances by local queens (lip-sync, comedy, dance).",Free to $20+ (plus tips for performers),"(Check venue websites/social media: @thedrinktoronto, @crewsandtangos, @gladdaybookshop)",Church-Wellesley Village is central," ",true,"drag show,lgbtq performance,drag queen,nightlife,toronto",2025-05-30T21:32:13.305Z,Gay Show/Performance,special_event,"Church-Wellesley Village (e.g., The Drink, Crews & Tangos) and other venues",year-round,varies,special_event
sp733305_insideoutt,Inside Out Toronto LGBT Film Festival,"Annual festival showcasing films by and about LGBTQ+ people. (Note: Main festival is typically May/June, but they have year-round programming/screenings)"," ",TIFF Bell Lightbox and other venues,Gay Festival/Film,Main festival May/June; other screenings year-round," ",Festival passes/individual tickets on sale prior to festival,Varies per film; festival spans ~11 days,"Screenings of feature films, documentaries, shorts; Q&As with filmmakers; industry events.","Varies (single tickets ~$15-20, passes available)",https://insideout.ca/,TIFF Bell Lightbox is central," ",true,"lgbtq film festival,queer cinema,film,festival,toronto",2025-05-30T21:32:13.305Z,Gay Festival/Film,special_event,TIFF Bell Lightbox and other venues,year-round,varies,special_event
sp733305_lavenderwi,Lavender Wild,"One-day queer music and arts festival. (Inaugural event was June 2023, check for 2025 dates)"," ",RBC Echo Beach or similar outdoor venue,Gay Festival/Music,Typically June (check for 2025 announcement)," ",Tickets on sale in advance,Full day event,"Live music performances by LGBTQ+ artists and allies, art installations, community vendors.",~$80-150+,https://www.lavenderwild.com/ (check for updates),RBC Echo Beach is on Ontario Place grounds," ",true,"lgbtq music festival,queer festival,live music,arts,toronto",2025-05-30T21:32:13.305Z,Gay Festival/Music,special_event,RBC Echo Beach or similar outdoor venue,year-round,varies,special_event
sp733305_greenspace,"Green Space Festival (by The 519 - Note: This IS a Pride month affiliated series of events, user asked to exclude Pride Toronto events and associated Pride Month activities. Clarify if this specific one is okay or should be omitted.)","Multi-day music and community festival during Pride month, fundraiser for The 519. (If this is too close to ""Pride Month activities"", I can remove it.)"," ",Barbara Hall Park and other venues near The 519,Gay Festival/Community,Typically late June (Pride Month)," ","Some events free, some ticketed","Several days, various event times","DJ sets, live performances, community gatherings, large outdoor dance parties.",Free to $50+ (varies by event),https://www.greenspaceto.org/ (part of The 519),Church-Wellesley area," ",true,"lgbtq festival,pride,community,music,dance,toronto,fundraiser",2025-05-30T21:32:13.305Z,Gay Festival/Community,special_event,Barbara Hall Park and other venues near The 519,year-round,varies,special_event
sp733305_tapestryop,Tapestry Opera,"Produces contemporary opera and innovative music theatre, often with Canadian creators."," ","Various venues, often smaller or site-specific",Opera/Music Theatre,"Project-based, check season schedule"," ",Book tickets in advance,Varies per show,"New opera works, experimental music theatre, workshops.",Varies ($30-$75+),https://tapestryopera.com/,Varies," ",true,"opera,contemporary music,music theatre,canadian,toronto",2025-05-30T21:32:13.305Z,Opera/Music Theatre,special_event,"Various venues, often smaller or site-specific",year-round,varies,special_event
sp733305_factorythe,Factory Theatre,"Hub for Canadian playwriting and theatre, developing and producing new Canadian plays."," ","125 Bathurst St, Toronto",Theatre,Year-round (season schedule)," ",Book tickets in advance,Varies per play,"Contemporary Canadian plays, readings, development workshops.",Varies ($25-$60+),https://www.factorytheatre.ca/,Approx 10-15 mins,https://goo.gl/maps/FactoryTheatre,true,"theatre,canadian plays,new works,toronto",2025-05-30T21:32:13.305Z,Theatre,special_event,"125 Bathurst St, Toronto",year-round,varies,special_event
sp733305_tarragonth,Tarragon Theatre,"Creates, develops and produces new Canadian plays, alongside contemporary international works."," ","30 Bridgman Ave, Toronto",Theatre,Year-round (season schedule)," ",Book tickets in advance,Varies per play,"New Canadian plays, contemporary theatre, readings.",Varies ($20-$70+),https://www.tarragontheatre.com/,Approx 20-30 mins (near Dupont station),https://goo.gl/maps/TarragonTheatre,true,"theatre,canadian plays,contemporary,toronto",2025-05-30T21:32:13.305Z,Theatre,special_event,"30 Bridgman Ave, Toronto",year-round,varies,special_event
sp733305_theassembl,The Assembly Theatre,Independent theatre venue supporting emerging artists and new works.," ","1479 Queen St West, Parkdale",Theatre,Year-round (show listings vary)," ",Tickets usually via event organizers/website,Varies per show,"Indie theatre, comedy, improv, experimental performances.",Varies ($15-$30+),https://www.theassemblytheatre.com/,Approx 25-35 mins,https://goo.gl/maps/AssemblyTheatre,true,"indie theatre,emerging artists,parkdale,toronto",2025-05-30T21:32:13.305Z,Theatre,special_event,"1479 Queen St West, Parkdale",year-round,varies,special_event
sp733305_gladdaylit,Glad Day Lit (Events at Glad Day Bookshop),"World's oldest LGBTQ bookstore, hosts readings, drag events, socials, workshops, and more."," ","499 Church St, Toronto",LGBTQ+ Social/Literary/Performance,"Frequent events, check calendar"," ","Many free, some ticketed/PWYC",Varies per event,"Book launches, poetry readings, drag shows, discussion groups, dance parties.",Free to $20+,https://www.gladdaylit.ca/,"Church-Wellesley Village, central"," ",true,"lgbtq events,bookstore,literary,drag,social,community,toronto",2025-05-30T21:32:13.305Z,LGBTQ+ Social/Literary/Performance,special_event,"499 Church St, Toronto",year-round,varies,special_event
sp733305_pegasusonc,Pegasus on Church Karaoke / Events,"LGBTQ+ bar with regular karaoke nights, drag shows, and other events."," ","489B Church St, Toronto",LGBTQ+ Social/Karaoke/Bar,Nightly events (check schedule)," ","Usually no cover, tips appreciated",Evening hours,"Karaoke, drag performances, social bar atmosphere.",No cover (buy drinks),https://www.pegasusonchurch.com/,"Church-Wellesley Village, central"," ",true,"lgbtq bar,karaoke,drag,social,church street,toronto",2025-05-30T21:32:13.305Z,LGBTQ+ Social/Karaoke/Bar,special_event,"489B Church St, Toronto",year-round,varies,special_event
sp733305_woodysands,Woody's and Sailor,"Iconic side-by-side LGBTQ+ bars on Church Street with drag shows, DJs, and social scene."," ","465-467 Church St, Toronto",LGBTQ+ Bar/Nightlife,Nightly," ",Cover charge on some nights/special events,Evening/Late Night,"Drag shows (""Best in Drag"" contest at Woody's), DJs, multiple bars, patio.",Varies (no cover to $10+),"(Search ""Woody's Toronto"" or ""Sailor Toronto"" on social media)","Church-Wellesley Village, central"," ",true,"lgbtq bar,drag,nightlife,dj,church street,toronto",2025-05-30T21:32:13.305Z,LGBTQ+ Bar/Nightlife,special_event,"465-467 Church St, Toronto",year-round,varies,special_event
sp733305_theblackea,The Black Eagle Toronto,"Leather, denim, and uniform bar for men, with regular themed nights and events."," ","457 Church St, Toronto",LGBTQ+ Bar/Nightlife (specific subculture),Nightly (themed nights vary)," ",Cover charge on some nights,Evening/Late Night,"DJ nights, leather/fetish themed events, pool table, patio.",Varies (no cover to $10+),https://www.blackeagletoronto.com/,"Church-Wellesley Village, central"," ",true,"lgbtq bar,leather,fetish,men,church street,toronto",2025-05-30T21:32:13.305Z,LGBTQ+ Bar/Nightlife (specific subculture),special_event,"457 Church St, Toronto",year-round,varies,special_event
sp733305_oasisaqual,Oasis Aqualounge,"Upscale spa and lounge for adventurous adults (sex-positive, clothing-optional environment). Hosts LGBTQ+ specific nights/events."," ","231 Mutual St, Toronto",Adult Lounge/Social (Niche),Check schedule for LGBTQ+ events," ",Membership/Cover charge applies,Evening/Late Night,"Pool, hot tub, sauna, social areas. LGBTQ+ nights provide a specific space.",Varies significantly (check website),https://wwwoasis.com/,Approx 10-15 mins,https://goo.gl/maps/OasisAqualounge,true,"lgbtq social,adult,sex positive,lounge,toronto",2025-05-30T21:32:13.305Z,Adult Lounge/Social (Niche),special_event,"231 Mutual St, Toronto",year-round,varies,special_event
sp733305_torontoque,Toronto Queer Market,"Pop-up market featuring LGBTQ2S+ artisans, makers, and vendors."," ","Various locations, check social media for dates/locations",LGBTQ+ Market/Social,"Periodic (e.g., monthly or seasonal)"," ",N/A (free entry to browse),"Typically a few hours (e.g., afternoon)","Shop for unique goods from queer creators, support local artists, community atmosphere.",Free entry (cost of purchases)," (Search ""Toronto Queer Market"" on Instagram or Facebook)",Varies," ",true,"lgbtq market,queer artists,shopping,community,toronto",2025-05-30T21:32:13.305Z,LGBTQ+ Market/Social,special_event,"Various locations, check social media for dates/locations",year-round,varies,special_event
sp733305_youngpeopl,Young People's Theatre (YPT),Canada's largest and oldest professional theatre for young audiences.," ","165 Front St E, Toronto",Theatre/Family,"Season typically Sept-May, check for any summer programming/workshops for 2025"," ",Book tickets in advance,Varies (typically 1-2 hrs),Theatrical productions and drama programs designed for children and youth.,Varies ($15-$50),https://www.youngpeoplestheatre.org/,Approx 10-15 mins,https://goo.gl/maps/YoungPeoplesTheatre,true,"theatre,family,children,youth,performing arts,toronto",2025-05-30T21:32:13.305Z,Theatre/Family,special_event,"165 Front St E, Toronto",year-round,varies,special_event
sp733305_comedybar,Comedy Bar,"Popular venue for stand-up, improv, and sketch comedy shows, featuring local and touring acts."," ",945 Bloor St W & 2800 Danforth Ave,Comedy/Show,"Nightly shows, year-round"," ",Tickets online or at door (adv recommended),~1-2 hrs per show,"Multiple comedy shows per night, bar on site.",Varies ($10-$30+),https://comedybar.ca/,Bloor: Approx 20-25 mins; Danforth: Approx 30-40 mins," ",true,"comedy,stand up,improv,sketch,live show,toronto",2025-05-30T21:32:13.305Z,Comedy/Show,special_event,945 Bloor St W & 2800 Danforth Ave,year-round,varies,special_event
sp733305_secondcity,Second City Toronto,Renowned improvisational and sketch comedy theatre and school.," ","One York Street, Toronto",Comedy/Show/Theatre,"Multiple shows weekly, year-round"," ",Book tickets in advance,~1.5-2 hrs per show,"Mainstage revues, touring company shows, improv sets, and workshops.",Varies ($30-$60+),https://www.secondcity.com/toronto/,Approx 5-10 mins,https://goo.gl/maps/SecondCityOneYork,true,"comedy,sketch,improv,theatre,toronto",2025-05-30T21:32:13.305Z,Comedy/Show/Theatre,special_event,"One York Street, Toronto",year-round,varies,special_event
sp733305_gladstoneh,Gladstone House - Melody Bar / Events,"Boutique hotel with a bar (Melody Bar) that often hosts live music, DJ nights, drag events, and other social gatherings. Check their specific LGBTQ+ friendly events."," ","1214 Queen St W, Toronto",Social/Music/LGBTQ+ Friendly,Check event schedule (year-round)," ","Some events ticketed, some free entry",Varies per event,"Live music, DJ sets, drag brunches/shows, art events, social nights.",Varies (free entry to $50+ for special events),https://www.gladstonehouse.ca/toronto-bar-events/,Approx 20-30 mins,https://goo.gl/maps/GladstoneHouse,true,"live music,dj,drag,social,hotel bar,toronto,queen west",2025-05-30T21:32:13.305Z,Social/Music/LGBTQ+ Friendly,special_event,"1214 Queen St W, Toronto",year-round,varies,special_event
sp733305_therivoli,The Rivoli,"Multi-level venue with restaurant, bar, and upstairs performance space hosting live music, comedy, and other events."," ","334 Queen St W, Toronto",Music/Comedy/Show,Nightly events (check schedule)," ",Tickets usually at door or online,Varies per event,"Indie bands, comedy shows, spoken word, book launches, DJ nights.",Varies ($10-$30+),https://rivoli.ca/,Approx 10-15 mins,https://goo.gl/maps/RivoliToronto,true,"live music,comedy,indie venue,queen west,toronto",2025-05-30T21:32:13.305Z,Music/Comedy/Show,special_event,"334 Queen St W, Toronto",year-round,varies,special_event
sp733305_dancemaker,Dance Makers,"Centre for contemporary dance, offering performances, workshops, and residencies."," ","15 Case Goods Lane, Distillery District, Toronto",Dance/Performance,Check season schedule for performances & workshops," ","Register for workshops, book tickets for shows",Varies,"Contemporary dance performances by local and national artists, dance classes and workshops for various levels.",Performance tickets ~$20-40; workshop fees vary.,https://dancemakers.org/,Approx 15-25 mins,https://goo.gl/maps/DanceMakersDistillery,true,"dance,contemporary dance,performance,workshop,distillery district,toronto",2025-05-30T21:32:13.305Z,Dance/Performance,special_event,"15 Case Goods Lane, Distillery District, Toronto",year-round,varies,special_event
sp733305_tosketchfe,TOsketchfest - Toronto Sketch Comedy Festival (if dates align with summer),"Annual festival celebrating scripted sketch comedy. (Main festival typically March, but check for any summer showcases or activities for 2025)"," ",Various venues in Toronto,Comedy Festival/Show,Typically March (check for summer 2025 events)," ",Festival passes/individual tickets on sale prior to festival,Varies per show; festival spans ~12 days,Showcases of sketch comedy troupes from Toronto and around the world.,"Varies (single tickets ~$15-25, passes available)",https://www.torontosketchfest.com/,Varies by venue," ",true,"sketch comedy,comedy festival,toronto",2025-05-30T21:32:13.305Z,Comedy Festival/Show,special_event,Various venues in Toronto,year-round,varies,special_event
sp733305_thebeaver,"The Beaver ","Queer-friendly bar and restaurant in West Queen West known for its laid-back vibe, DJ nights, and drag events."," ","1192 Queen St W, Toronto",LGBTQ+ Social/Bar/DJ,"Nightly, check for specific events"," ","Usually no cover, some special events might",Evening hours,"DJ nights (house, disco, etc.), drag performances, art events, casual hangout spot.",No cover to $15+ (for special events)," (Search ""The Beaver Toronto"" on social media, e.g. Instagram @thebeavertoronto)",Approx 20-30 mins,https://goo.gl/maps/TheBeaverToronto,true,"lgbtq bar,queer friendly,dj,drag,queen west,toronto",2025-05-30T21:32:13.305Z,LGBTQ+ Social/Bar/DJ,special_event,"1192 Queen St W, Toronto",year-round,varies,special_event
sp733305_yesyesyall,Yes Yes Y'all (YYY),"QTBIPOC-focused and allies-inclusive dance party, known for its high-energy atmosphere and diverse music (dancehall, soca, afrobeat, hip-hop)."," ","Various venues (often El Mocambo or larger clubs, check listings)",Gay Party/Social,Monthly or bi-monthly (check schedule for 2025)," ","Tickets often sell out, buy in advance","~4-6 hours (e.g., 10 PM - 4 AM)","DJ sets, dancing, community space for QTBIPOC individuals and allies.",~$20-35," (Search ""Yes Yes Y'all Toronto"" on Instagram or Facebook)",Varies by venue," ",true,"qtbipoc,lgbtq party,dance,soca,dancehall,afrobeat,toronto",2025-05-30T21:32:13.305Z,Gay Party/Social,special_event,"Various venues (often El Mocambo or larger clubs, check listings)",year-round,varies,special_event
sp733305_bitchcraft,Bitch Craft (Recurring Market/Social),"Queer & Feminist art, craft, and vintage market. Often includes tarot readings, DJs, and social elements."," ","Various venues (e.g., community centres, bars with event space). Check social media.",LGBTQ+ Market/Social/Craft Fair,"Periodic (e.g., quarterly or seasonal, check for Summer 2025 dates)"," ",N/A (free entry to browse),"Typically a few hours (e.g., afternoon/early evening)","Shopping for unique goods from queer and feminist creators, tarot, DJs, community atmosphere.",Free entry (cost of purchases)," (Search ""Bitch Craft Toronto"" on Instagram or Facebook for current events)",Varies by venue," ",true,"lgbtq market,queer artists,feminist art,craft fair,social,toronto",2025-05-30T21:32:13.305Z,LGBTQ+ Market/Social/Craft Fair,special_event,"Various venues (e.g., community centres, bars with event space). Check social media.",year-round,varies,special_event
sp733250_dragshowsa,"Drag Shows at The Drink, Crews & Tangos, Glad Day Bookshop, etc.",Various bars and venues in the Church-Wellesley Village and beyond host regular drag shows.," ","Church-Wellesley Village (e.g., The Drink, Crews & Tangos) and other venues",special events,Weekly/multiple times a week at many venues," ",Often no cover or small cover at door; some special events ticketed,~1-3 hours per show,"Drag performances by local queens (lip-sync, comedy, dance).",Free to $20+ (plus tips for performers),"(Check venue websites/social media: @thedrinktoronto, @crewsandtangos, @gladdaybookshop)",Church-Wellesley Village is central," ",true,"drag show,lgbtq performance,drag queen,nightlife,toronto",2025-05-30T21:32:13.250Z,special events,special_event,"Church-Wellesley Village (e.g., The Drink, Crews & Tangos) and other venues",year-round,varies,special_event
,,,"https://source.unsplash.com/random/?undefined,event",,,,,,,,,,,,false,,,,special_event,,year-round,varies,special_event